CrimeDate,CrimeCode,Description,Weapon,District,Neighbourhood,Longtitude,Latitude,Impact,Intensity
2012,6,Larceny,Other,Northern,Abell,-76.61216,39.32474,0.253,126
2012,4,COMMON ASSAULT,HANDS,CENTRAL,Madison Park,-76.63206,39.30727,0.233,283
2012,4,COMMON ASSAULT,HANDS,EASTERN,Madison-Eastend,-76.57811,39.29918,0.25,208
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Mayfield,-76.58079,39.3318,0.317,63
2012,5A,BURGLARY,other,SOUTHEASTERN,McElberry,-76.58073,39.29595,0.28,471
2012,6,Larceny,Other,Northern,Medfield,-76.63961,39.34126,0.333,72
2012,6,Larceny,Other,SOUTHEASTERN,Medford,-76.547,39.27837,0.506,75
2012,4,COMMON ASSAULT,HANDS,Northern,Mid-Govans,-76.60211,39.35649,0.287,87
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Mid-Town Belvedere,-76.61878,39.30214,0.417,467
2012,6,Larceny,Other,SOUTHERN,Middle Branch/Reedbird Pa,-76.61498,39.25137,0.386,44
2012,4,COMMON ASSAULT,HANDS,EASTERN,Middle East,-76.58988,39.30252,0.278,183
2012,4,COMMON ASSAULT,HANDS,WESTERN,Midtown-Edmondson,-76.64739,39.29581,0.214,182
2012,6,Larceny,Other,SOUTHEASTERN,Millhill,-76.65868,39.28007,0.288,225
2012,4,COMMON ASSAULT,HANDS,EASTERN,Milton-Montford,-76.58384,39.30021,0.316,174
2012,6,Larceny,Other,WESTERN,Mondawmin,-76.65821,39.318,0.378,607
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Montebello,-76.58557,39.33297,0.445,83
2012,5A,BURGLARY,Other,NORTHEASTERN,Moravia-Walther,-76.5653,39.33952,0.559,59
2012,4C,AGG. ASSAULT,Other,NORTHEASTERN,Morgan State University,-76.58747,39.34001,0.208,24
2012,6,Larceny,Other,SOUTHEASTERN,Morrell Park,-76.65868,39.26444,0.27,262
2012,5A,BURGLARY,Other,WESTERN,Mosher,-76.66336,39.29871,0.235,119
2012,5A,BURGLARY,Other,SOUTHWESTERN,Mount Holly,-76.67613,39.3115,0.205,113
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Mount Vernon,-76.6157,39.29963,0.431,538
2012,6D,LARCENY FROM AUTO,Other,Northern,Mount Washington,-76.66598,39.35771,0.328,125
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Mount Winans,-76.64346,39.26344,0.23,39
2012,6,Larceny,Other,NORTHEASTERN,New Northwood,-76.59495,39.34767,0.208,250
2012,5A,BURGLARY,Other,SOUTHERN,New Southwest/Mount Clare,-76.64152,39.28517,0.276,217
2012,6,Larceny,Other,NORTHEASTERN,North Harford Road,-76.53802,39.35834,0.247,263
2012,6,Larceny,Other,Northern,North Roland Park/Poplar,-76.63961,39.36873,0.333,45
2012,5A,BURGLARY,Other,SOUTHWESTERN,Northwest Community Actio,-76.66749,39.30757,0.253,134
2012,4,COMMON ASSAULT,HANDS,SOUTHEASTERN,O'Donnell Heights,-76.54254,39.27659,0.338,65
2012,5A,BURGLARY,Other,Northern,Oakenshawe,-76.60949,39.33041,0.218,64
2012,6,Larceny,Other,Northern,Old Goucher,-76.61816,39.31544,0.345,142
2012,4,COMMON ASSAULT,HANDS,EASTERN,Oldtown,-76.605,39.29904,0.253,256
2012,4,COMMON ASSAULT,HANDS,EASTERN,Oliver,-76.59606,39.30989,0.222,481
2012,6,Larceny,Other,EASTERN,Orangeville,-76.56683,39.29942,0.32,53
2012,6,Larceny,Other,EASTERN,Orangeville Industrial Ar,-76.57113,39.31375,0.307,52
2012,4,COMMON ASSAULT,HANDS,NORTHEASTERN,Orchard Ridge,-76.56233,39.30897,0.239,46
2012,5A,BURGLARY,Other,NORTHEASTERN,Original Northwood,-76.59762,39.34337,0.259,54
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,Otterbein,-76.61469,39.28398,0.411,90
2012,5A,BURGLARY,Other,WESTERN,Panway/Braddish Avenue,-76.66544,39.3124,0.242,95
2012,5A,BURGLARY,Other,NORTHWESTREN,Park Cricle,-76.66035,39.32906,0.222,216
2012,4,COMMON ASSAULT,Other,Northern,Parklane,-76.65953,39.34178,0.24,137
2012,7,AUTO THEFT,Other,NORTHEASTERN,Parkside,-76.56038,39.32371,0.24,125
2012,4,COMMON ASSAULT,Other,WESTERN,Parkview/Woodbrook,-76.64716,39.31544,0.253,166
2012,5A,BURGLARY,Other,SOUTHEASTERN,Patterson Park Neighborho,-76.57537,39.29223,0.222,548
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Patterson Place,-76.584,39.29262,0.237,118
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Allendale,-76.68934,39.29314,0.236,190
2012,5A,BURGLARY,Other,Northern,Pen Lucy,-76.60744,39.33963,0.259,181
2012,4,COMMON ASSAULT,HANDS,WESTERN,Penn North,-76.63808,39.31095,0.235,276
2012,6D,LARCENY FROM AUTO,Other,EASTERN,Penn-Fallsway,-76.6077,39.29788,0.509,206
2012,4,COMMON ASSAULT,HANDS,NORTHEASTERN,Arcadia,-76.56532,39.3294,0.233,60
2012,6,Larceny,Other,WESTERN,Penrose/Fayette Street Ou,-76.65433,39.28828,0.179,289
2012,6,Larceny,Other,NORTHWESTREN,Arlington,-76.6826,39.34753,0.217,216
2012,4,COMMON ASSAULT,Other,SOUTHEASTERN,Perkins Homes,-76.59819,39.28831,0.366,139
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Perring Loch,-76.58286,39.35175,0.214,98
2012,6,Larceny,Other,NORTHWESTREN,Pimlico Good Neighbors,-76.67985,39.35378,0.253,71
2012,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.25,192
2012,4,COMMON ASSAULT,HANDS,WESTERN,Poppleton,-76.6326,39.28997,0.243,263
2012,5A,BURGLARY,Other,NORTHWESTREN,Ashburton,-76.67145,39.32965,0.27,133
2012,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.211,321
2012,5A,BURGLARY,Other,Northern,Barclay,-76.61199,39.318,0.235,267
2012,3,ROBBERY - STREER,KNIFE,SOUTHERN,Barre Circle,-76.62624,39.2834,0.25,24
2012,6,Larceny,Other,SOUTHEASTERN,Bayview,-76.54202,39.28999,0.281,142
2012,5A,BURGLARY,Other,SOUTHWESTERN,Beechfield,-76.70061,39.27768,0.256,148
2012,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.215,993
2012,4C,AGG. ASSAULT,KNIFE,NORTHEASTERN,Belair-Parkside,-76.57179,39.32831,0.217,23
2012,6D,LARCENY FROM AUTO,Other,Northern,Bellona-Gittings,-76.6205,39.36645,0.5,6
2012,6,Larceny,Other,SOUTHERN,Port Covington,-76.6088,39.25945,0.914,70
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.3,494
2012,6,Larceny,Other,SOUTHEASTERN,Pulaski Industrial Area,-76.5405,39.2854,0.476,250
2012,5A,BURGLARY,Other,NORTHEASTERN,Ramblewood,-76.59348,39.36619,0.244,90
2012,4,COMMON ASSAULT,HANDS,EASTERN,Berea,-76.57562,39.30613,0.252,250
2012,6,Larceny,Other,NORTHWESTREN,Reisterstown Station,-76.7,39.35256,0.304,346
2012,5A,BURGLARY,Other,Northern,Better Waverly,-76.60813,39.32829,0.245,355
2012,6,Larceny,Other,Northern,Remington,-76.62302,39.32307,0.32,178
2012,6,Larceny,Other,NORTHEASTERN,Beverly Hills,-76.56816,39.33838,0.339,536
2012,4,COMMON ASSAULT,HANDS,CENTRAL,Reservoir Hill,-76.63365,39.31367,0.226,485
2012,6D,LARCENY FROM AUTO,Other,SoUTHERN,Ridgely's Delight,-76.62377,39.28247,0.336,98
2012,6,Larceny,Other,EASTERN,Biddle Street,-76.5762,39.30497,0.254,106
2012,6,Larceny,Other,CENTRAL,Bolton Hill,-76.62783,39.30726,0.33,106
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,Riverside,-76.60648,39.27036,0.28,292
2012,5A,BURGLARY,Other,SOUTHWESTERN,Rognel Heights,-76.68881,39.29661,0.271,177
2012,5A,BURGLARY,Other,Northern,Roland Park,-76.63554,39.34451,0.31,132
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Boyd-Booth,-76.65039,39.28702,0.224,58
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rosemont,-76.66678,39.30471,0.243,185
2012,6,Larceny,Other,SOUTHEASTERN,Brewers Hill,-76.56328,39.28633,0.298,114
2012,5A,BURGLARY,Other,NORTHEASTERN,Rosemont East,-76.53587,39.35433,0.292,99
2012,5A,BURGLARY,Other,WESTERN,Rosemont Homeowners/Tenan,-76.65739,39.29544,0.195,128
2012,4,COMMON ASSAULT,HANDS,WESTERN,Bridgeview/Greenlawn,-76.65363,39.30226,0.202,168
2012,5A,BURGLARY,Other,SOUTHWESTERN,Saint Agnes,-76.67573,39.27243,0.653,49
2012,4,COMMON ASSAULT,HANDS,EASTERN,Broadway East,-76.58409,39.30526,0.28,446
2012,6,Larceny,Other,SOUTHEASTERN,Saint Helena,-76.53182,39.26147,0.38,21
2012,6,Larceny,Other,SOUTHWESTERN,Saint Josephs,-76.67313,39.28544,0.198,121
2012,6,Larceny,Other,SOUTHERN,Saint Paul,-76.64394,39.26667,0.444,9
2012,4,COMMON ASSAULT,HANDS,WESTERN,Sandtown-Winchester,-76.64628,39.30551,0.258,707
2012,6,Larceny,Other,NORTHWESTREN,Seton Business Park,-76.70776,39.34329,0.48,75
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Seton Hill,-76.62217,39.29573,0.271,162
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,Sharp-Leadenhall,-76.61974,39.27614,0.362,113
2012,4C,AGG. ASSAULT,KNIFE,SOUTHWESTERN,Shipley Hill,-76.65607,39.28664,0.24,166
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,South Baltimore,-76.61321,39.2723,0.336,214
2012,4,COMMON ASSAULT,HANDS,EASTERN,South Clifton Park,-76.59179,39.31263,0.223,103
2012,6,Larceny,Other,SOUTHERN,Stadium Area,-76.6197,39.28523,0.5,84
2012,7,AUTO THEFT,Other,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58846,39.34808,0.209,43
2012,5A,BURGLARY,Other,SOUTHWESTERN,Ten Hills,-76.70255,39.29215,0.406,64
2012,4,COMMON ASSAULT,Other,NORTHWESTREN,Towanda-Grantley,-76.66421,39.3338,0.219,123
2012,4,COMMON ASSAULT,Other,SOUTHEASTERN,Broening Manor,-76.54163,39.27612,0.259,127
2012,4,COMMON ASSAULT,Other,SOUTHWESTERN,Tremont,-76.69312,39.28284,0.23,26
2012,4,COMMON ASSAULT,Other,SOUTHERN,Brookyln,-76.60231,39.2388,0.246,698
2012,6D,LARCENY FROM AUTO,Other,Northern,Tuscany-Canterbury,-76.61807,39.33385,0.45,40
2012,6D,LARCENY FROM AUTO,Other,NORTHWESTREN,Burleith-Leighton,-76.6643,39.32192,0.253,63
2012,5A,BURGLARY,Other,SOUTHERN,Union Square,-76.63974,39.28596,0.303,145
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Butcher's Hill,-76.58654,39.2929,0.32,154
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,University Of Maryland,-76.62384,39.29182,0.31,129
2012,4,COMMON ASSAULT,HANDS,NORTHWESTREN,Callaway-Garrison,-76.68286,39.33317,0.166,96
2012,5A,BURGLARY,Other,SOUTHWESTERN,Uplands,-76.69199,39.29015,0.259,54
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Upper Fells Point,-76.58448,39.28784,0.21,285
2012,4,COMMON ASSAULT,HANDS,Northern,Cameron Village,-76.60212,39.3547,0.353,82
2012,6,Larceny,Other,CENTRAL,Upton,-76.6284,39.2988,0.253,691
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Canton,-76.57503,39.28589,0.342,760
2012,6,Larceny,Other,SOUTHEASTERN,Canton Industrial Area,-76.55588,39.27747,0.543,86
2012,5A,BURGLARY,Other,EASTERN,CARE,-76.58659,39.2972,0.31,216
2012,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.425,188
2012,6,Larceny,Other,SOUTHWESTERN,Violetville,-76.67246,39.26155,0.281,199
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Carroll Park,-76.64609,39.27227,0.379,29
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Wakefield,-76.70194,39.30966,0.229,87
2012,6,Larceny,Other,NORTHEASTERN,Cedmont,-76.53094,39.3545,0.27,144
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Walbrook,-76.66952,39.30906,0.203,211
2012,5A,BURGLARY,Other,NORTHWESTREN,Central Forest Park,-76.69051,39.32841,0.261,84
2012,5A,BURGLARY,Other,NORTHEASTERN,Waltherson,-76.55565,39.34076,0.277,339
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Washington Hill,-76.59487,39.29156,0.354,279
2012,4,COMMON ASSAULT,HANDS,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.246,503
2012,6,Larceny,Other,SOUTHERN,Washington Village/Pigtow,-76.63007,39.28188,0.273,542
2012,6,Larceny,Other,Northern,Charles Village,-76.61615,39.32869,0.313,380
2012,5A,BURGLARY,Other,Northern,Waverly,-76.60364,39.33101,0.289,221
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.254,794
2012,5A,BURGLARY,Other,NORTHWESTREN,West Arlington,-76.69322,39.33866,0.267,116
2012,5A,BURGLARY,Other,NORTHWESTREN,West Forest Park,-76.69285,39.32178,0.24,104
2012,5A,COMMON ASSAULT,Other,NORTHEASTERN,Clifton Park,-76.58713,39.31884,0.28,114
2012,6D,LARCENY FROM AUTO,Other,SOUTHWESTERN,West Hills,-76.69727,39.30131,0.229,74
2012,5A,COMMON ASSAULT,HANDS,EASTERN,Darley Park,-76.59366,39.31552,0.358,81
2012,5A,BURGLARY,Other,NORTHEASTERN,Westfield,-76.55474,39.3587,0.243,144
2012,4C,AGG. ASSAULT,FIRE ARM,CENTRAL,Druid Heights,-76.63589,39.31031,0.192,203
2012,5A,BURGLARY,Other,SOUTHWESTERN,Westgate,-76.70795,39.28572,0.325,132
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Downtown,-76.61696,39.29408,0.271,1995
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Downtown West,-76.62093,39.28628,0.43,230
2012,5A,BURGLARY,Other,NORTHEASTERN,East Arlington,-76.67051,39.33194,0.277,101
2012,4,COMMON ASSAULT,HANDS,WESTERN,Easterwood,-76.64875,39.30576,0.261,126
2012,5A,BURGLARY,HANDS,SOUTHWESTERN,Edgewood,-76.67735,39.2966,0.257,105
2012,7,AUTO THEFT,Other,WESTERN,Evergreen Lawn,-76.65495,39.29703,0.223,76
2012,6,Larceny,Other,SOUTHERN,Fairfield Area,-76.59756,39.23487,0.458,72
2012,6,Larceny,Other,NORTHWESTREN,Forrest Park,-76.6719,39.32417,0.261,84
2012,5A,BURGLARY,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.322,127
2012,4,COMMON ASSAULT,FIRE ARM,SOUTHWESTERN,Franklintown Road,-76.66501,39.29543,0.277,154
2012,5A,BURGLARY,KNIFE,NORTHWESTREN,Glen,-76.69699,39.35558,0.254,245
2012,4,COMMON ASSAULT,HANDS,Northern,Glen Oaks,-76.59501,39.37009,0.192,166
2012,5A,BURGLARY,HANDS,Northern,Green Spring,-76.65869,39.33299,0.306,183
2012,6D,LARCENY FROM AUTO,Other,Northern,Guilford,-76.61503,39.3366,0.4,95
2012,4,COMMON ASSAULT,Other,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.224,552
2012,5A,BURGLARY,Other,NORTHWESTREN,Howard Park,-76.69161,39.33204,0.261,279
2012,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,846
2012,6,Larceny,Other,SOUTHWESTERN,Irvington,-76.68255,39.28173,0.233,271
2012,6D,LARCENY FROM AUTO,Other,EASTERN,Johnston Square,-76.60591,39.30494,0.265,320
2012,6,Larceny,Other,SOUTHERN,Lakeland,-76.65077,39.25875,0.281,320
2012,5A,BURGLARY,HANDS,NORTHEASTERN,Lauraville,-76.57359,39.35168,0.303,188
2012,6,Larceny,Other,NORTHEASTERN,Loch Raven,-76.5773,39.35692,0.224,318
2013,6,Larceny,Other,Northern,Abell,-76.61216,39.32474,0.429,114
2013,5A,BURGLARY,Other,SOUTHWESTERN,Allendale,-76.68934,39.29314,0.207,207
2013,5A,BURGLARY,HANDS,NORTHEASTERN,Arcadia,-76.56532,39.3294,0.305,59
2013,4,COMMON ASSAULT,Other,NORTHWESTREN,Arlington,-76.6826,39.34753,0.214,196
2013,6,Larceny,Other,NORTHEASTERN,Armistead Gardens,-76.54705,39.30542,0.265,147
2013,5A,BURGLARY,Other,NORTHWESTREN,Ashburton,-76.67145,39.32965,0.233,133
2013,6,Larceny,Other,SOUTHEASTERN,Baltimore Highlands,-76.56751,39.2925,0.342,377
2013,6,Larceny,Other,Northern,Barclay,-76.61199,39.318,0.205,278
2013,5A,BURGLARY,KNIFE,SOUTHERN,Barre Circle,-76.62624,39.2834,0.225,40
2013,6,Larceny,Other,SOUTHEASTERN,Bayview,-76.54202,39.28999,0.17,117
2013,7,AUTO THEFT,Other,SOUTHWESTERN,Beechfield,-76.70061,39.27768,0.241,124
2013,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.306,1072
2013,5A,BURGLARY,KNIFE,NORTHEASTERN,Belair-Parkside,-76.57179,39.32831,0.366,30
2013,6,LARCENY  ,Other,Northern,Bellona-Gittings,-76.6205,39.36645,0.285,7
2013,6,LARCENY  ,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.36,50
2013,4,COMMON ASSAULT,HANDS,EASTERN,Berea,-76.57562,39.30613,0.322,251
2013,6,Larceny,Other,Northern,Better Waverly,-76.60813,39.32829,0.465,425
2013,6,Larceny,Other,NORTHEASTERN,Beverly Hills,-76.56816,39.33838,0.4,45
2013,4,COMMON ASSAULT,HANDS,EASTERN,Biddle Street,-76.5762,39.30497,0.329,85
2013,6,Larceny,Other,CENTRAL,Bolton Hill,-76.62783,39.30726,0.296,307
2013,5A,BURGLARY,HANDS,SOUTHWESTERN,Boyd-Booth,-76.65039,39.28702,0.208,67
2013,6,Larceny,Other,SOUTHEASTERN,Brewers Hill,-76.56328,39.28633,0.498,138
2013,4,COMMON ASSAULT,HANDS,WESTERN,Bridgeview/Greenlawn,-76.65363,39.30226,0.209,191
2013,4,COMMON ASSAULT,HANDS,EASTERN,Broadway East,-76.58409,39.30526,0.273,487
2013,6,Larceny,Other,SOUTHEASTERN,Broening Manor,-76.54163,39.27612,0.293,127
2013,4,COMMON ASSAULT,Other,SOUTHERN,Brooklyn,-76.60231,39.2388,0.229,672
2013,6D,LARCENY FROM AUTO,Other,NORTHWESTREN,Burleith-Leighton,-76.6643,39.32192,0.327,58
2013,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Butcher's Hill,-76.58654,39.2929,0.214,149
2013,7,AUTO THEFT,HANDS,NORTHWESTREN,Callaway-Garrison,-76.68286,39.33317,0.186,103
2013,4,COMMON ASSAULT,HANDS,Northern,Cameron Village,-76.60212,39.3547,0.344,87
2013,6,LARCENY  ,Other,SOUTHEASTERN,Canton,-76.57503,39.28589,0.286,765
2013,6,Larceny,Other,SOUTHEASTERN,Canton Industrial Area,-76.55588,39.27747,0.563,119
2013,5A,BURGLARY,Other,EASTERN,CARE,-76.58659,39.2972,0.233,197
2013,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.435,216
2013,6,Larceny,HANDS,SOUTHERN,Carroll Park,-76.64609,39.27227,0.342,38
2013,6,Larceny,Other,NORTHEASTERN,Cedmont,-76.53094,39.3545,0.25,176
2013,5A,BURGLARY,Other,NORTHWESTREN,Central Forest Park,-76.69051,39.32841,0.314,105
2013,4,COMMON ASSAULT,KNIFE,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.216,499
2013,6,Larceny,Other,Northern,Charles Village,-76.61615,39.32869,0.315,409
2013,4,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.273,684
2013,6,Larceny,Other,NORTHEASTERN,Clifton Park,-76.58713,39.31884,0.266,124
2013,5A,COMMON ASSAULT,FIRE ARM,EASTERN,Darley Park,-76.59366,39.31552,0.358,76
2013,6,LARCENY  ,Other,CENTRAL,Downtown,-76.61696,39.29408,0.368,1649
2013,6,LARCENY  ,Other,CENTRAL,Downtown West,-76.62093,39.28628,0.574,216
2013,6,Larceny,FIRE ARM,CENTRAL,Druid Heights,-76.63589,39.31031,0.187,192
2013,7,AUTO THEFT,HANDS,NORTHEASTERN,East Arlington,-76.67051,39.33194,0.158,101
2013,4,COMMON ASSAULT,FIRE ARM,WESTERN,Easterwood,-76.64875,39.30576,0.291,123
2013,5A,BURGLARY,HANDS,SOUTHWESTERN,Edgewood,-76.67735,39.2966,0.237,110
2013,6,Larceny,Other,WESTERN,Evergreen Lawn,-76.65495,39.29703,0.202,89
2013,6,Larceny,Other,SOUTHERN,Fairfield Area,-76.59756,39.23487,0.587,80
2013,5A,BURGLARY,Other,NORTHWESTREN,Forest Park,-76.6719,39.32417,0.234,98
2013,4,COMMON ASSAULT,KNIFE,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.39,892
2013,7,AUTO THEFT,HANDS,SOUTHWESTERN,Franklintown Road,-76.66501,39.29543,0.203,123
2013,6D,LARCENY FROM AUTO,KNIFE,NORTHWESTREN,Glen,-76.69699,39.35558,0.246,320
2013,6, Larceny,HANDS,Northern,Glen Oaks,-76.59501,39.37009,0.421,192
2013,5A,BURGLARY,HANDS,Northern,Greenspring,-76.65869,39.33299,0.236,178
2013,5A,BURGLARY,HANDS,Northern,Guilford,-76.61503,39.3366,0.404,121
2013,5A,BURGLARY,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.22,631
2013,5A,BURGLARY,Other,NORTHWESTREN,Howard Park,-76.69161,39.33204,0.338,331
2013,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,599
2013,5A,BURGLARY,HANDS,SOUTHWESTERN,Irvington,-76.68255,39.28173,0.219,264
2013,6D,LARCENY FROM AUTO,Other,EASTERN,Johnston Square,-76.60591,39.30494,0.232,229
2013,6,Larceny,Other,SOUTHERN,Lakeland,-76.65077,39.25875,0.267,329
2013,5A,BURGLARY,HANDS,NORTHEASTERN,Lauraville,-76.57359,39.35168,0.223,197
2013,6,Larceny,Other,NORTHEASTERN,Loch Raven,-76.5773,39.35692,0.266,296
2013,6,Larceny,HANDS,CENTRAL,Madison Park,-76.63206,39.30727,0.228,280
2013,4,COMMON ASSAULT,HANDS,EASTERN,Madison-Eastend,-76.57811,39.29918,0.225,233
2013,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Mayfield,-76.58079,39.3318,0.367,66
2013,5A,BURGLARY,other,SOUTHEASTERN,McElderry Park,-76.58073,39.29595,0.26,548
2013,6D,LARCENY FROM AUTO,Other,Northern,Medfield,-76.63961,39.34126,0.243,89
2013,4,COMMON ASSAULT,FIRE ARM,SOUTHEASTERN,Medford,-76.547,39.27837,0.416,110
2013,5A,BURGLARY,HANDS,Northern,Mid-Govans,-76.60211,39.35649,0.302,96
2013,6,LARCENY  ,Other,CENTRAL,Mid-Town Belvedere,-76.61878,39.30214,0.33,445
2013,4,COMMON ASSAULT,KNIFE,SOUTHERN,Middle Branch/Reedbird Pa,-76.61498,39.25137,0.311,45
2013,5A,BURGLARY,HANDS,EASTERN,Middle East,-76.58988,39.30252,0.214,196
2013,5A,BURGLARY,KNIFE,WESTERN,Midtown-Edmondson,-76.64739,39.29581,0.168,202
2013,6,Larceny,Other,SOUTHEASTERN,Millhill,-76.65868,39.28007,0.288,295
2013,4,COMMON ASSAULT,HANDS,EASTERN,Milton-Montford,-76.58384,39.30021,0.259,166
2013,6,Larceny,Other,WESTERN,Mondawmin,-76.65821,39.318,0.392,589
2013,4,COMMON ASSAULT,KNIFE,NORTHEASTERN,Montebello,-76.58557,39.33297,0.344,35
2013,5A,BURGLARY,Other,NORTHEASTERN,Moravia-Walther,-76.5653,39.33952,0.465,58
2013,6,Larceny,Other,NORTHEASTERN,Morgan State University,-76.58747,39.34001,0.352,17
