Neighbourhood,Longtitude,Latitude,year2012,year2013,year2014,year2015,year2016,year2017
Allendale/Irvington/S. Hilton,,,461,461,527,549,440,331
Beechfield/Ten Hills/West Hills,,,286,243,289,237,267,241
Belair-Edison,,,993,1072,1079,1009,1027,802
Brooklyn/Curtis Bay/Hawkins Point,,,800,879,1209,1342,1562,1102
Canton,,,760,765,617,654,587,404
Cedonia/Frankford,,,552,627,696,643,993,985
Cherry Hill,,,794,684,590,620,847,551
Chinquapin Park/Belvedere,,,849,475,420,422,371,287
Claremont/Armistead,,,382,352,321,333,335,304
Clifton-Berea,,,364,375,313,357,371,267
Cross-Country/Cheswolde,,,461,485,420,538,471,371
Dickeyville/Franklintown,,,357,315,326,346,401,254
Dorchester/Ashburton,,,175,185,234,199,183,98
Downtown/Seton Hill,,,2157,1807,1511,1610,1855,1075
Edmondson Village,,,105,110,124,155,137,128
Fells Point,,,127,892,85,98,109,93
Forest Park/Walbrook,,,295,350,197,268,292,219
Glen-Fallstaff,,,317,400,357,371,329,281
Greater Charles Village/Barclay,,,450,456,392,520,548,290
Greater Govans,,,552,640,400,590,547,393
Greater Mondawmin,,,390,240,222,200,201,190
Greater Roland Park/Poplar Hill,,,429,507,441,467,413,317
Greater Rosemont,,,70,73,112,46,4,3
Hamilton,,,552,631,595,585,547,393
Harford/Echodale,,,817,840,735,784,843,505
Highlandtown,,,140,193,175,202,191,177
Howard Park/West Arlington,,,395,450,387,438,448,317
Inner Harbor/Federal Hill,,,909,651,691,602,704,400
Lauraville,,,188,197,192,239,190,125
Loch Raven,,,318,296,289,257,206,149
Madison/East End,,,384,381,359,417,374,200
Medfield/Hampden/Woodberry/Remington,,,1013,1041,920,1086,1023,714
Midway/Coldstream,,,125,139,145,180,141,135
Morrell Park/Violetville,,,407,487,518,463,599,397
Mount Washington/Coldspring,,,244,239,237,279,255,227
North Baltimore/Guilford/Homeland,,,637,693,634,708,696,481
Northwood,,,250,205,238,242,188,129
Orangeville/East Highlandtown,,,158,176,170,233,200,198
Patterson Park North & East,,,243,280,245,254,264,185
Penn North/Reservoir Hill,,,761,691,692,731,769,478
Pimlico/Arlington/Hilltop,,,558,546,560,619,564,514
Poppleton/The Terraces/Hollins Market,,,472,601,328,303,316,223
Sandtown-Winchester/Harlem Park,,,805,795,690,810,818,805
South Baltimore,,,214,175,159,172,139,92
Southeastern,,,103,108,105,103,98,72
Southern Park Heights,,,217,251,225,241,241,169
Southwest Baltimore,,,321,377,347,407,356,299
The Waverlies,,,59,58,38,35,34,32
Washington Village/Pigtown,,,418,493,416,440,461,224
Westport/Mount Winans/Lakeland,,,404,435,415,399,414,338
Unassigned -- Jail,,,129,109,82,118,161,90
Oldtown/Middle East,,,439,449,379,395,422,291
"Harbor East/Little Italy
",,,383,339,356,326,258,199
Upton/Druid Heights,,,894,702,703,852,866,551
Midtown,,,467,445,408,408,408,226
Greenmount East,,,76,89,61,74,65,40